Raw Fertilizer (lbs/hr),"Delayed Fertilizer, sigma_F=300 (lbs/hr)","Delayed Fertilizer, sigma_F=200 (lbs/hr)","Delayed Fertilizer, sigma_F=100 (lbs/hr)"
17.5,0,0,0
17.5,0.012004481953578405,0.012306755906460241,0.013213559597872045
17.5,0.012609159490172788,0.013214018145281262,0.015029560182975122
17.5,0.013214171009006653,0.014122032038177116,0.016848569712471596
17.5,0.013819516627288173,0.015030797980691174,0.018670591
17.5,0.014425196462215968,0.015940316368318233,0.020495628257930006
17.5,0.015031210630979085,0.016850587596504173,0.022323684
17.5,0.015637559250756935,0.017761612,0.024154760532845872
17.5,0.016244242438719258,0.018673390156089646,0.025988862
17.5,0.016851260312026075,0.019585922278133328,0.027825992
0,0.016853855,0.019592076,0.027851914
0,0.01685645,0.019598232,0.027877861848477032
0,0.016859045726759673,0.019604392,0.027903836432501442
0,0.016861642515597727,0.019610554651545157,0.027929837384452406
0,0.01686424,0.019616720348941536,0.027955865
0,0.016866838568155025,0.019622889086506234,0.027981918352938232
0,0.016869438,0.019629061,0.028007998
0,0.016872037919427464,0.019635235679218432,0.028034104674568724
0,0.016874639,0.019641413532897306,0.028060237
0,0.016877240568057793,0.019647594423807258,0.028086396268416552
0,0.016879843,0.019653778,0.028112582
0,0.016882447,0.019659965,0.028138793051988888
0,0.016885050720564815,0.019666155,0.028165031
0,0.016887655751931574,0.019672348,0.028191295
0,0.016890261606610495,0.019678544410752508,0.028217585273764677
0,0.016892868284428972,0.019684744,0.028243902
0,0.016895476,0.019690945639950507,0.028270244660433534
0,0.016898084,0.019697151,0.028296614
0,0.016900693,0.019703359,0.028323009
0,0.016903303223632284,0.019709570215911538,0.028349430378656903
0,0.016905914,0.019715784466735574,0.028375878010031524
0,0.016908525627554218,0.019722001745688694,0.028402351818395365
0,0.016911138062483143,0.019728222,0.028428851792202885
0,0.016913751319156466,0.019734445384866267,0.028455377919808993
0,0.016916365,0.019740671743525152,0.028481930189468978
0,0.016918980297031202,0.019746901,0.028508508589338347
0,0.016921596017879077,0.019753133535046378,0.028535113107472747
0,0.016924212559764264,0.019759368966324874,0.028561744
0,0.01692683,0.019765607,0.028588400450259087
0,0.016929448,0.019771848895935126,0.028615083
0,0.016932067109864092,0.019778093392664738,0.028641792120271084
0,0.016934686934116934,0.019784341,0.028668527
0,0.016937307578514305,0.019790591,0.028695288018346324
0,0.016939929042876455,0.019796845000874377,0.028722075021479478
0,0.016942551,0.019803102,0.028748888043713162
0,0.016945174430774104,0.019809361163239357,0.028775727072198873
0,0.016947798353948117,0.019815623769035697,0.028802592093987073
0,0.016950423,0.019821889,0.028829483
0,0.016953049,0.019828158,0.028856400065166973
0,0.016955675,0.019834429674982487,0.028883342988153406
0,0.016958302,0.019840704337050083,0.028910311851631582
0,0.01696093,0.019846982,0.028937306642145093
0,0.016963559,0.019853262696299973,0.028964327346135816
0,0.016966188744731346,0.019859546391800386,0.028991373949943812
0,0.016968819216728742,0.019865833096758066,0.029018446439807187
0,0.016971450506502856,0.019872123,0.029045544801862014
0,0.016974082613868763,0.019878415531647625,0.029072669022142214
0,0.016976716,0.019884711259872984,0.029099819086579413
0,0.016979349280634208,0.019891009994142575,0.029126994981002886
0,0.016981983839661888,0.019897311733595418,0.029154196691139396
0,0.016984619215537636,0.019903616477367457,0.029181424202613125
0,0.016987255,0.019909924224591532,0.029208678
0,0.016989892,0.019916234974397394,0.029235956571555262
0,0.016992530242381933,0.019922549,0.029263261
0,0.016995168883776616,0.019928865478258014,0.029290591970766566
0,0.016997808,0.019935185230556797,0.029317948
0,0.017000449,0.019941507981925406,0.029345330281535756
0,0.017003089702660935,0.019947833731478116,0.029372737991205666
0,0.017005732,0.019954162,0.029400171383499568
0,0.017008374325606344,0.019960494,0.029427630443113376
0,0.017011017859615393,0.019966829,0.029455115154639326
0,0.017013662208394217,0.019973166693706433,0.029482625502565855
0,0.017016307,0.019979507,0.029510161
0,0.017018953349495408,0.019985851140667695,0.029537723
0,0.0170216,0.019992197852447477,0.029565310208074517
0,0.017024247747374356,0.019998547555213582,0.029592922944408566
0,0.017026896167123863,0.020004900248052286,0.029620561238025044
0,0.017029545400489045,0.020011255930046736,0.029648225072787505
0,0.017032195447276157,0.020017614600276967,0.029675914432454997
0,0.017034846307291032,0.020023976,0.029703629300681943
0,0.017037498,0.020030341,0.029731369661018057
0,0.017040150466225423,0.020036708531135834,0.029759135496908232
0,0.017042803764754602,0.020043079145047056,0.029786927
0,0.017045458,0.020049453,0.029814744
0,0.017048113,0.020055829,0.029842585690777596
0,0.017050768534239584,0.020062208884557203,0.029870453261232964
0,0.017053425081378464,0.020068591,0.029898346222890993
0,0.017056082440177308,0.020074976949617983,0.029926264558565528
0,0.017058740610438328,0.020081365450920208,0.029954208250964884
0,0.0170614,0.020087756930132164,0.029982177282691758
0,0.017064059384553694,0.020094151386296322,0.030010171636243123
0,0.01706672,0.020100548818451993,0.030038191294010124
0,0.017069381402134147,0.020106949225635364,0.030066236
0,0.017072043626725007,0.020113352606879454,0.030094306451225933
0,0.017074707,0.020119758961214155,0.030122401914927044
0,0.017077370506506883,0.020126168287666203,0.030150522611348214
0,0.017080035,0.020132580585259182,0.030178668522350002
0,0.017082701,0.020138995853013528,0.030206839629686587
0,0.017085367,0.020145414089946523,0.030235035915005634
0,0.017088034,0.020151835295072293,0.030263257
0,0.017090702,0.020158259,0.030291503945648696
0,0.017093370576157813,0.020164686605942887,0.030319775653734685
0,0.017096040085894503,0.020171116709700173,0.030348072465326878
