number,value,datetime_start,datetime_complete,duration,params_daily_horizon,params_weight_fertilizer,params_weight_fertilizer_anomaly,params_weight_fruit_biomass,params_weight_height,params_weight_irrigation,params_weight_leaf_area,params_weight_water_anomaly,user_attrs_fruit_biomass,user_attrs_height,user_attrs_leaf_area,user_attrs_total_fertilizer,user_attrs_total_irrigation,state
0,292.40492569583637,2026-01-08 14:32:57.461963,2026-01-08 14:33:30.728774,0 days 00:00:33.266811,13,0.6351221010640696,0.0017073967431528124,1644.5845403801216,734.6740023932911,0.03148911647956861,602.6718993550662,0.004207053950287938,0.07078592443481745,1.4540710363193574,0.22039533576509526,5.70740118048597,58.68278858747793,COMPLETE
1,603.6515296550577,2026-01-08 14:33:30.730183,2026-01-08 14:33:46.140525,0 days 00:00:15.410342,5,0.06796578090758151,0.005337032762603957,8341.182143924176,30.378649352844423,0.2537815508265665,970.2107536403744,0.0070689749506246055,0.12336232462026521,1.4670289842728532,0.3463180638270101,34.260037986710884,25.03977487681952,COMPLETE
2,247.52958724609184,2026-01-08 14:33:46.142118,2026-01-08 14:34:09.709291,0 days 00:00:23.567173,7,0.012561043700013555,0.01474275315991467,6157.343657751557,437.62556845569463,0.016480446427978974,298.3168487960615,0.003613894271216527,0.07951398288689009,1.6231824705781073,0.24766198176353899,165.81156266171217,57.2790248378362,COMPLETE
3,481.9680672474891,2026-01-08 14:34:09.710384,2026-01-08 14:34:29.262595,0 days 00:00:19.552211,5,0.13826232179369857,0.26926469100861794,5964.90423173422,207.67704433677613,0.06672367170464207,519.0920940294754,0.0015339162591163618,0.10278743785129706,1.45781759078362,0.3132697319143554,12.307720707197532,43.12784935778829,COMPLETE
4,160.94736334253747,2026-01-08 14:34:29.263738,2026-01-08 14:34:57.903016,0 days 00:00:28.639278,8,0.6245139574743068,0.5456725485601477,3115.67631481637,965.9757127438138,0.0018205657658407262,810.3133746352966,0.002458603276328005,0.04987793502912088,1.4529309781017865,0.14369450945043816,5.7543764806103965,69.61158207168117,COMPLETE
5,53.20869564062991,2026-01-08 14:34:57.904272,2026-01-08 14:35:25.414281,0 days 00:00:27.510009,9,0.009565499215943823,0.017654048052495083,2661.9218178401675,44.04463590406621,0.003077180271250686,910.2271980579942,0.4467752817973907,0.05554789208049395,1.983511379041793,0.14898034598834303,250.48624919854598,70.81726988180874,COMPLETE
6,-629.4965628876544,2026-01-08 14:35:25.415545,2026-01-08 14:36:03.377367,0 days 00:00:37.961822,14,0.0005488047000766049,0.24637685958997463,9401.039521485473,969.888781486913,0.1537592023548176,777.3814951275034,3.7958531426706403,0.05322329888580566,0.8504296571334075,0.18182280602402653,1364.7656582902396,48.615535017058725,COMPLETE
7,-364.8030807729255,2026-01-08 14:36:03.378487,2026-01-08 14:36:23.034494,0 days 00:00:19.656007,7,0.0006080390190296605,2.0651425578959257,3947.905167925872,54.775016021432684,0.002259279742015696,332.0770274556317,0.01217295809836997,0.06525104019160186,2.520818742571953,0.2469941030689932,1079.0164370388188,66.99325271678543,COMPLETE
8,199.17424028466272,2026-01-08 14:36:23.035642,2026-01-08 14:36:40.801589,0 days 00:00:17.765947,5,0.014817820606039088,1.2273800987852967,838.0513724297311,149.51498272501502,0.013296521457299506,804.1750109464992,8.862326508576253,0.06172133986038954,1.5304123890172474,0.18638700634903418,65.88385880581367,64.33533638397356,COMPLETE
9,202.68098185084915,2026-01-08 14:36:40.802874,2026-01-08 14:36:55.106160,0 days 00:00:14.303286,4,0.18274508859816008,0.02715581955282941,7735.576432190863,709.788770409141,0.0010521761868451127,731.7170963605774,0.0019777828512462727,0.05695876788237112,1.4571176097598506,0.16866952841258123,8.99518686783738,66.26277771957494,COMPLETE
10,746.7838028035017,2026-01-08 14:36:55.107669,2026-01-08 14:37:21.608223,0 days 00:00:26.500554,10,0.031130959561221232,0.8287522363768158,3178.724984985056,337.5890446041227,2.8340904295147746,72.9227667831634,0.01998634077852888,0.14670015931063893,1.4911536579936546,0.356190617223139,53.27919322165231,1.0449211117499004,COMPLETE
11,864.4826112067631,2026-01-08 14:37:21.609497,2026-01-08 14:37:45.416099,0 days 00:00:23.806602,8,0.007742116473996248,1.2130221181165162,7631.7719813072845,128.3983034789187,3.53875886477924,716.1123393507651,0.17583640270008521,0.194353752542743,2.268067562074219,0.49212167889753994,296.9773381293902,1.618013816283157,COMPLETE
12,729.4997475210099,2026-01-08 14:37:45.417533,2026-01-08 14:38:09.959037,0 days 00:00:24.541504,9,0.005130551760589831,0.018089390092767135,411.14893829866907,35.164935476654236,0.12329098365270515,116.81251272337141,0.35127047262708466,0.14360046291458348,1.5401892039330964,0.3673353550103669,55.16574344043195,4.26713472067424,COMPLETE
13,870.8236988235242,2026-01-08 14:38:09.960215,2026-01-08 14:38:24.827704,0 days 00:00:14.867489,4,0.000993502390906369,0.014421346497969485,2365.1018383670626,416.2790938052734,4.268407710065496,757.9956271576182,0.0020319809838424984,0.20855189672159932,2.6932142466584,0.5568393076409389,440.89493437379895,0.25285082896316413,COMPLETE
14,741.5269469251461,2026-01-08 14:38:24.829021,2026-01-08 14:38:48.842086,0 days 00:00:24.013065,9,0.17079750342958216,3.7173717478250508,8056.353561301233,637.0697189453192,5.233480488540088,872.7459842858406,0.005575453980775369,0.14237639613564637,1.4695585835309004,0.35198051538881586,25.890525775663253,1.630797142199953,COMPLETE
15,743.7852870627045,2026-01-08 14:38:48.843469,2026-01-08 14:39:21.604260,0 days 00:00:32.760791,13,0.38403004190988527,1.8709365688887358,2356.5581091652225,324.8234402221452,1.6973078532467012,118.95140528239999,0.05110120656497164,0.14033213954959878,1.4524485554415019,0.3479697792185454,5.627061213996802,1.4434601600279493,COMPLETE
16,170.169838594066,2026-01-08 14:39:21.605453,2026-01-08 14:39:41.333936,0 days 00:00:19.728483,6,0.01104051190316225,5.910698619088545,1286.6671366034598,423.2368931172912,0.001066125968943389,229.88673236602295,0.022410971619109515,0.05916733819533518,1.5695619789087836,0.17132769264240566,84.10199702889443,66.62815668967949,COMPLETE
17,438.36843132041156,2026-01-08 14:39:41.335212,2026-01-08 14:40:00.051470,0 days 00:00:18.716258,6,0.06487477066058678,0.09749762207436122,9628.228219926901,369.99330635550103,0.1188946976953047,972.0642618937511,0.010165510266418737,0.09898663113044079,1.4804345560190362,0.30430444754026115,47.316041219037245,45.15534679169175,COMPLETE
18,-568.0696703557387,2026-01-08 14:40:00.052725,2026-01-08 14:40:16.460429,0 days 00:00:16.407704,5,0.0001404584234402471,4.295992790539128,609.6396373748946,613.4686906400979,0.013783578294796388,507.6522329965729,0.01301924671436158,0.052491633178015064,1.5616388111139428,0.26941143692654324,1285.9905333332556,62.3200339297408,COMPLETE
19,-9.796357511274891,2026-01-08 14:40:16.461591,2026-01-08 14:41:00.551278,0 days 00:00:44.089687,11,0.00907425628898386,0.00892380714337978,6754.141919318197,985.7939495694947,0.003798214508453258,249.6347187963854,1.1129571947046013,0.056253753990060607,2.502452772818119,0.1560817347840081,384.6345705580861,72.55167823578779,COMPLETE
20,736.0195896872408,2026-01-08 14:41:00.552630,2026-01-08 14:41:14.383098,0 days 00:00:13.830468,3,0.0029838831454152602,0.07054215397636959,4580.811446076092,237.72066159206884,1.0689248683118626,645.0332506602268,0.1345666731516031,0.16531584272850755,1.7427591164512897,0.4038929337576461,235.35945348967945,1.4793779228218562,COMPLETE
21,544.953284132426,2026-01-08 14:41:14.384385,2026-01-08 14:41:40.553972,0 days 00:00:26.169587,11,0.0016524795376205072,0.7042025175533445,3904.0631327118645,529.908905910367,7.537933313450104,18.616097363437113,0.0572854884100258,0.1790478356941773,2.635570734407467,0.5691934396361562,758.3191584565968,0.41159332017370287,COMPLETE
22,756.9210388454984,2026-01-08 14:41:40.555399,2026-01-08 14:42:10.687252,0 days 00:00:30.131853,11,0.030432913503801663,9.349708364859442,5253.744845995452,287.6656507007584,2.254039754601065,415.5044885079393,0.12915629316911417,0.15521189834317456,1.606085828100846,0.38438099808358506,111.15968855956963,2.187389288776506,COMPLETE
23,-397.36233229140015,2026-01-08 14:42:10.688509,2026-01-08 14:42:42.091305,0 days 00:00:31.402796,11,0.0013529238361283426,9.941450502972573,5315.270692502775,245.64859967489792,0.6377498741418539,401.9896334516908,0.17689600836617214,0.07968083732046267,0.9737851091232953,0.23226780957302534,1334.4956137851968,8.290904690432018,COMPLETE
24,746.6236821933095,2026-01-08 14:42:42.092661,2026-01-08 14:42:53.210978,0 days 00:00:11.118317,3,0.031645776556134535,0.0015341250557183888,7031.908600310528,153.73264968222898,3.712938047824021,648.2269484154045,1.1668796565450918,0.14318460392833338,1.459558114659778,0.34893304277497134,25.470618589765216,0.5069918416846674,COMPLETE
25,-380.72004319426094,2026-01-08 14:42:53.212179,2026-01-08 14:43:19.756345,0 days 00:00:26.544166,10,0.00015316118506951954,0.03910473994106525,5132.737468119741,490.4570942354872,9.902583121033755,405.9808923898778,0.05940135183340886,0.07969644419010864,1.0532844550478657,0.2454865797070272,1342.0712698961079,0.49101534386014367,COMPLETE
26,898.9431580983098,2026-01-08 14:43:19.757529,2026-01-08 14:43:51.658516,0 days 00:00:31.900987,12,0.004135125393822737,0.29834918484899925,4535.693464035685,139.18968615418552,0.6732332307227782,697.9871213442058,0.3277361275876777,0.20777316476914326,2.8443622777672863,0.6008957832614246,399.58636816483244,4.523334097115973,COMPLETE
27,-339.86801911151315,2026-01-08 14:43:51.659757,2026-01-08 14:44:24.339351,0 days 00:00:32.679594,12,0.00041581206084253814,0.30240963997002823,3864.1596425107577,122.29226298262913,0.5789949690822123,701.801551863759,0.4028321470002057,0.08665585605003735,1.256967570249621,0.27624420921040443,1319.885766161608,9.231544024962886,COMPLETE
28,873.7624730984369,2026-01-08 14:44:24.340591,2026-01-08 14:44:46.697130,0 days 00:00:22.356539,8,0.0033628685883666004,0.1535158899282103,2163.5911281039075,133.00611515431302,0.560049407025452,603.1249738462355,1.774265980232706,0.19210312344479494,2.238745907058327,0.49349671673053735,258.5761020315664,3.394300213812825,COMPLETE
29,840.6843787190256,2026-01-08 14:44:46.698327,2026-01-08 14:45:21.209358,0 days 00:00:34.511031,14,0.0027318186317540094,0.0035507261023047733,1894.7784387775482,197.7498651380121,0.3488631892608658,578.5060680728295,2.203261972532259,0.19709052100541252,2.61753524184191,0.558029877750575,387.04999534664023,5.15494989653175,COMPLETE
