STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP (hundreths of in)
US1IAPK0121,9/11/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/12/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/13/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/14/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",5
US1IAPK0121,9/15/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/16/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/17/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/18/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/19/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/20/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/21/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",48
US1IAPK0121,9/22/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/23/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/24/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/25/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",10
US1IAPK0121,9/26/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/27/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/28/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/29/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,9/30/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",74
US1IAPK0121,10/1/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",28
US1IAPK0121,10/2/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",3
US1IAPK0121,10/3/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/4/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/5/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/6/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/7/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",3
US1IAPK0121,10/8/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/9/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/10/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/11/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",28
US1IAPK0121,10/12/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",114
US1IAPK0121,10/13/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",335
US1IAPK0121,10/14/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",3
US1IAPK0121,10/15/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",3
US1IAPK0121,10/16/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/17/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/18/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/19/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/20/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",10
US1IAPK0121,10/21/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",3
US1IAPK0121,10/22/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/23/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",5
US1IAPK0121,10/24/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",89
US1IAPK0121,10/25/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",643
US1IAPK0121,10/26/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/27/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/28/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",236
US1IAPK0121,10/29/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",102
US1IAPK0121,10/30/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,10/31/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/1/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/2/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/3/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/4/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/5/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/6/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/7/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/8/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/9/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/10/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/11/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",320
US1IAPK0121,11/12/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",5
US1IAPK0121,11/13/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/14/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",5
US1IAPK0121,11/15/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/16/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/18/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/19/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/20/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/21/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/22/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/23/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/24/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/25/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/26/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/27/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/28/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/29/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,11/30/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/1/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",8
US1IAPK0121,12/2/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/3/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/4/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/5/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/6/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/7/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/8/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/9/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/10/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
US1IAPK0121,12/11/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",3
US1IAPK0121,12/12/21,41.576855,-93.4530567,278,"PLEASANT HILL 3.2 E, IA US",0
