Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.001035118599082448,0.00022428257961804477,0.006904132507520779,0.34554230648523915,8.622767561492375e-05
2,0.0010357548301414725,0.00022442732149561122,0.006911721617835596,0.3462585077462291,8.624845968397234e-05
3,0.0010363914520374379,0.000224572156727282,0.006919319064215774,0.3469761930569313,8.626924876007457e-05
4,0.001037028465010165,0.0002247170853731957,0.006926924855804697,0.3476953654907551,8.629004284443539e-05
5,0.001037665869299622,0.00022486210749352942,0.006934539001755747,0.34841602812746786,8.631084193826001e-05
6,0.0010383036651459236,0.00022500722314849905,0.006942161511232316,0.3491381840532079,8.6331646042754e-05
7,0.0010389418527893318,0.00022515243239835914,0.00694979239340782,0.3498618363604975,8.635245515912315e-05
8,0.0010395804324702556,0.00022529773530340294,0.006957431657465707,0.35058698814825634,8.637326928857357e-05
9,0.0010402194044292512,0.0002254431319239625,0.006965079312599467,0.3513136425218145,8.639408843231167e-05
10,0.0010408587689070218,0.0002255886223204086,0.006972735368012646,0.3520418025929258,8.641491259154413e-05
11,0.0010414353598144576,0.00022571983359920362,0.006980398897977158,0.35289454680455085,8.643273546505693e-05
12,0.0010419603401407346,0.00022583930476631446,0.006988069857387915,0.3538792072878295,8.644821104670099e-05
13,0.0010424426488487909,0.00022594906907463206,0.0069957482162933985,0.35500127641477036,8.646183168242215e-05
14,0.0010428893816312906,0.00022605074056353676,0.007003433957107068,0.3562647876065282,8.647396769883485e-05
15,0.001043306179494963,0.0002261456024121447,0.007011127072321995,0.35767262281891,8.648489975658547e-05
16,0.0010436975546675472,0.00022623468105312147,0.007018827562604958,0.35922676457757546,8.649484293287936e-05
17,0.0010440671462049855,0.00022631880430498458,0.007026535435203888,0.36092850268955895,8.650396409546361e-05
18,0.0010444179154119242,0.00022639864581889887,0.007034250702621759,0.36277860302000936,8.651239433992264e-05
19,0.001044752294059179,0.00022647475879098613,0.007041973381517765,0.36477744447869564,8.652023791771338e-05
20,0.0010450722968448685,0.00022654760154264353,0.007049703491801307,0.3669251295316244,8.652757869510255e-05
21,0.0010453836859538467,0.00022661848522659354,0.007057441390571526,0.36917664800316824,8.653462270025015e-05
