Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.0010351185990809641,0.00022428257961986482,0.006904132507520779,0.3455423064934684,8.622767561522784e-05
2,0.001035754830138503,0.00022442732149925506,0.006911721617835596,0.3462585077627388,8.624845968458074e-05
3,0.0010363914520329807,0.0002245721567327534,0.006919319064215774,0.34697619308177285,8.62692487609875e-05
4,0.0010370284650042185,0.00022471708538049836,0.006926924855804697,0.3476953655239803,8.629004284565307e-05
5,0.0010376658692921841,0.00022486210750266713,0.006934539001755747,0.34841602816912864,8.631084193978267e-05
6,0.0010383036651369928,0.0002250072231594756,0.006942161511232316,0.3491381841033564,8.633164604458184e-05
7,0.0010389418527789061,0.00022515243241117826,0.00694979239340782,0.3498618364191862,8.635245516125641e-05
8,0.0010395804324583333,0.00022529773531806843,0.006957431657465707,0.35058698821553796,8.637326929101247e-05
9,0.0010402194044158302,0.00022544313194047813,0.006965079312599467,0.35131364259774195,8.639408843505642e-05
10,0.0010408587688921006,0.00022558862233877815,0.006972735368012646,0.35204180267755225,8.641491259459496e-05
11,0.0010414353597983047,0.00022571983361925157,0.006980398897977158,0.3528945468975956,8.643273546835988e-05
12,0.0010419603401235523,0.0002258393047878933,0.006988069857387915,0.3538792073890644,8.644821105021526e-05
13,0.0010424426488307346,0.00022594906909761652,0.0069957482162933985,0.3550012765240082,8.646183168611634e-05
14,0.0010428893816124816,0.00022605074058781933,0.007003433957107068,0.35626478772361525,8.647396770268431e-05
15,0.001043306179475498,0.00022614560243763236,0.007011127072321995,0.3576726229437214,8.648489976057057e-05
16,0.0010436975546475036,0.00022623468107973305,0.007018827562604958,0.3592267647100114,8.64948429369842e-05
17,0.0010440671461844273,0.00022631880433264873,0.007026535435203888,0.3609285028295425,8.650396409967517e-05
18,0.001044417915390904,0.00022639864584755244,0.007034250702621759,0.36277860316748395,8.651239434423008e-05
19,0.0010447522940377413,0.0002264747588205729,0.007041973381517765,0.3647774446336237,8.65202379221076e-05
20,0.0010450722968230505,0.00022654760157311317,0.007049703491801307,0.3669251296939859,8.652757869957583e-05
21,0.0010453836859316758,0.0002266184852579022,0.007057441390571526,0.36917664817289725,8.653462270479679e-05
22,0.0010456873676279975,0.00022668761603371237,0.007065187113106401,0.37152971880931607,8.654140456309984e-05
23,0.001045984115971931,0.00022675516998528413,0.007072940693535649,0.373982231758492,8.65479533712777e-05
24,0.0010462745968546452,0.00022682129859093381,0.007080702164816368,0.37653224753711434,8.655429378601328e-05
25,0.0010465593869001361,0.00022688613302227452,0.007088471558736469,0.379177993102304,8.656044686237898e-05
26,0.0010468389884747203,0.0002269497875585812,0.007096248905937154,0.3819178560968387,8.656643070708245e-05
27,0.0010471138417146061,0.00022701236232283673,0.0071040342359481035,0.38475037799028383,8.657226099270718e-05
28,0.0010473843342460006,0.00022707394549287898,0.007111827577230797,0.3876742466284762,8.657795136645321e-05
29,0.0010476508091028652,0.0002271346151025505,0.007119628957226659,0.39068828854784343,8.658351377795045e-05
30,0.0010479135712244422,0.00022719444051977382,0.007127438402407677,0.3937914612990771,8.658895874437362e-05
31,0.0010481768579375594,0.00022725438608889388,0.0071352564472743595,0.3969111176866715,8.659441830139175e-05
32,0.001048440641385791,0.00022731444547433006,0.007143083097635821,0.40004779757500897,8.659989158678631e-05
33,0.0010487048962101418,0.0002273746129085893,0.007150918359644793,0.40320200527229777,8.660537781452084e-05
34,0.0010489695992596366,0.00022743488312643186,0.007158762239756587,0.4063742140996225,8.661087626602953e-05
35,0.0010492347293426288,0.0002274952513083004,0.0071666147446941735,0.40956487027735483,8.661638628271554e-05
36,0.0010495002670121469,0.00022755571303149143,0.007174475881418321,0.4127743962476825,8.662190725946322e-05
37,0.001049766194379836,0.0002276162642278321,0.007182345657101932,0.4160031935286296,8.662743863900403e-05
38,0.0010500324949540474,0.00022767690114684948,0.007190224079107897,0.4192516451766728,8.663297990700505e-05
39,0.0010502991534984082,0.00022773762032359934,0.007198111154969898,0.42252011792067445,8.663853058777145e-05
40,0.0010505661559078415,0.00022779841855046417,0.0072060068923757055,0.4258089640184554,8.664409024047347e-05
41,0.0010508412333823877,0.0002278610556096455,0.0072139122288203406,0.4289799207875124,8.66499018953801e-05
42,0.0010511241489058593,0.0002279254776317103,0.007221827085033933,0.4320440128574011,8.665596148042516e-05
43,0.001051414672206414,0.00022799163228024935,0.007229751393389978,0.43501090266138337,8.666226477487153e-05
