Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.0010351185990834756,0.00022428257961777665,0.006904132507520779,0.3455423064833249,8.622767561485302e-05
2,0.001035754830143529,0.0002244273214950743,0.006911721617835596,0.34625850774238875,8.624845968383083e-05
3,0.0010363914520405244,0.00022457215672647563,0.006919319064215774,0.3469761930511528,8.626924875986222e-05
4,0.0010370284650142829,0.0002247170853721192,0.006926924855804697,0.3476953654830265,8.629004284415215e-05
5,0.0010376658693047726,0.0002248621074921821,0.006934539001755747,0.3484160281177771,8.631084193790586e-05
6,0.0010383036651521083,0.00022500722314688026,0.006942161511232316,0.3491381840415428,8.633164604232886e-05
7,0.0010389418527965517,0.0002251524323964682,0.00694979239340782,0.34986183634684587,8.635245515862698e-05
8,0.001039580432478512,0.00022529773530123915,0.006957431657465707,0.3505869881326059,8.637326928800632e-05
9,0.0010402194044385454,0.0002254431319215252,0.006965079312599467,0.3513136425041529,8.639408843167328e-05
10,0.0010408587689173551,0.00022558862231769709,0.006972735368012646,0.3520418025732407,8.641491259083456e-05
11,0.0010414353598256437,0.00022571983359623063,0.006980398897977158,0.3528945467829076,8.643273546428872e-05
12,0.0010419603401526335,0.0002258393047630931,0.006988069857387915,0.3538792072642811,8.644821104588362e-05
13,0.001042442648861295,0.00022594906907117527,0.0069957482162933985,0.3550012763893604,8.646183168156294e-05
14,0.001042889381644316,0.0002260507405598568,0.007003433957107068,0.3562647875792924,8.647396769793953e-05
15,0.001043306179508443,0.00022614560240825313,0.007011127072321995,0.3576726227898775,8.64848997556586e-05
16,0.0010436975546814276,0.00022623468104902906,0.007018827562604958,0.35922676454676944,8.649484293192463e-05
17,0.0010440671462192224,0.00022631880430070125,0.007026535435203888,0.36092850265699733,8.650396409448408e-05
18,0.0010444179154264809,0.00022639864581443377,0.007034250702621759,0.3627786029857053,8.651239433892081e-05
19,0.001044752294074025,0.00022647475878634772,0.007041973381517765,0.36477744444265786,8.652023791669137e-05
20,0.0010450722968599778,0.0002265476015378396,0.007049703491801307,0.3669251294938576,8.652757869406216e-05
21,0.0010453836859692,0.0002266184852216314,0.007057441390571526,0.3691766479636877,8.65346226991927e-05
22,0.0010456873676660781,0.0002266876159964907,0.007065187113106401,0.3715297185910878,8.654140455741147e-05
23,0.0010459841160105326,0.00022675516994715388,0.007072940693535649,0.37398223153129057,8.654795336551045e-05
24,0.0010462745968937356,0.0002268212985519336,0.007080702164816368,0.37653224730096996,8.655429378017198e-05
25,0.0010465593869396874,0.0002268861329824398,0.007088471558736469,0.3791779928572327,8.656044685646791e-05
26,0.0010468389885147072,0.0002269497875179446,0.007096248905937154,0.38191785584284355,8.656643070110545e-05
27,0.001047113841755006,0.00022701236228142842,0.0071040342359481035,0.384750377727356,8.657226098666771e-05
28,0.0010473843342867929,0.0002270739454507269,0.007111827577230797,0.3876742463565957,8.657795136035441e-05
29,0.001047650809144031,0.00022713461505968063,0.007119628957226659,0.3906882882669799,8.658351377179518e-05
30,0.0010479135712659646,0.00022719444047621036,0.007127438402407677,0.39379146100919055,8.658895873816448e-05
31,0.0010481768579794278,0.0002272543860446581,0.0071352564472743595,0.3969111173878163,8.659441829513036e-05
32,0.0010484406414279959,0.00022731444542944197,0.007143083097635821,0.40004779726723094,8.65998915804742e-05
33,0.001048704896252674,0.00022737461286306766,0.007150918359644793,0.4032020049556348,8.660537780815946e-05
34,0.0010489695993024873,0.00022743488308029435,0.007158762239756587,0.4063742137741052,8.661087625962023e-05
35,0.0010492347293857898,0.00022749525126156367,0.0071666147446941735,0.4095648699430073,8.661638627625962e-05
36,0.0010495002670556104,0.0002275557129841712,0.007174475881418321,0.4127743959045225,8.66219072529619e-05
37,0.0010497661944235946,0.00022761626417994326,0.007182345657101932,0.4160031931766692,8.662743863245846e-05
38,0.0010500324949980942,0.00022767690109840613,0.007190224079107897,0.4192516448159188,8.663297990041632e-05
39,0.0010502991535427364,0.00022773762027461484,0.007198111154969898,0.4225201175511288,8.663853058114062e-05
40,0.001050566155952445,0.0002277984185009512,0.0072060068923757055,0.4258089636401152,8.664409023380153e-05
41,0.001050841233427268,0.00022786105555961425,0.0072139122288203406,0.42897992040057675,8.664990188866687e-05
42,0.001051124148951018,0.00022792547758117057,0.007221827085033933,0.4320440124620559,8.665596147367051e-05
43,0.0010514146722518524,0.00022799163222921053,0.007229751393389978,0.4350109022578027,8.666226476807538e-05
44,0.0010517125800283893,0.00022805946875189488,0.0072376850960384825,0.43788909659799785,8.666880744151337e-05
45,0.001052017656073405,0.0002281289380101834,0.007245628143388431,0.44068611672411706,8.667558508752685e-05
46,0.0010523296913156374,0.00022819999248741826,0.007253580492865682,0.44340863913285533,8.668259325227815e-05
47,0.001052648483796593,0.0002282725862841089,0.007261542107889719,0.44606261285165066,8.66898274590261e-05
48,0.0010529738385962435,0.00022834667510108006,0.007269512957025534,0.4486533576262044,8.669728322890433e-05
49,0.0010533055677189995,0.00022842221621357535,0.0072774930132766275,0.4511856465445838,8.670495609847601e-05
50,0.0010536434899492827,0.00022849916843843817,0.007285482253492437,0.4536637759006324,8.671284163448481e-05
51,0.0010539887683449088,0.00022857779663218808,0.0072934807484909,0.4560775426995166,8.672098267207801e-05
52,0.0010543412111471595,0.00022865805722433832,0.0073014884721284866,0.45843175720400303,8.672937487101108e-05
53,0.001054700632328831,0.0002287399079474541,0.007309505402000947,0.46073075204767266,8.673801386256964e-05
54,0.0010550668515680573,0.0002288233078312232,0.0073175315189627065,0.4629784410368914,8.674689526722635e-05
55,0.0010554396941912835,0.00022890821718950504,0.007325566806719091,0.46517836943947477,8.675601470987673e-05
56,0.0010558189910915708,0.0002289945976017647,0.0073336112514788224,0.4673337571624697,8.676536783293174e-05
57,0.0010562045786274123,0.00022908241189007142,0.007341664841656625,0.46944753596450717,8.677495030751608e-05
58,0.0010565962985064007,0.00022917162409264892,0.007349727567617708,0.47152238164272464,8.678475784299536e-05
59,0.0010569939976573673,0.00022926219943480183,0.0073577994214573846,0.4735607419691569,8.679478619503134e-05
60,0.0010573975280940104,0.00022935410429790535,0.0073658803968103,0.4755648610181788,8.680503117234225e-05
61,0.0010578114649316165,0.0002294483805567518,0.007373970699498208,0.47750320645965794,8.681566989960286e-05
62,0.0010582356033544448,0.00022954498171682538,0.007382070304740665,0.47938080623453894,8.682669895732545e-05
63,0.0010586697400782692,0.0002296438616311844,0.007390179191394791,0.4812021836610435,8.683811463395926e-05
64,0.0010591136738197205,0.0002297449746072264,0.007398297341490694,0.48297141919594433,8.684991296294532e-05
65,0.0010595672056942678,0.00022984827549721646,0.0074064247398362175,0.4846922034076853,8.686208975678283e-05
66,0.0010600301395509418,0.00022995371977442227,0.0074145613736793054,0.4863678825715283,8.687464063826236e-05
67,0.001060502282251102,0.00023006126359651857,0.00742270723241849,0.4880014980470819,8.68875610690277e-05
68,0.0010609834438978167,0.00023017086385775565,0.007430862307353714,0.48959582039684413,8.690084637563006e-05
69,0.001061473438021747,0.00023028247823123307,0.007439026591471131,0.4911533790408255,8.691449177323866e-05
