h,A,N,c,P,delayed_water,delayed_temperature,delayed_radiation,cumulative_water,cumulative_temperature,cumulative_radiation,cumulative_divergence_water,cumulative_divergence_temperature,cumulative_divergence_radiation,nuW,nuT,nuR,ah_hat,aA_hat,aN_hat,ac_hat,aP_hat,kh_hat,kA_hat,kN_hat,kc_hat,kP_hat
0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05,3.3685022545456855e-05,0.05010335205279804,2.3514640923584103,3.3685022545456855e-05,0.05010335205279804,2.3514640923584103,0.0033685022545456855,0.0021955894852234022,0.004054248435100707,0.9899453823056336,0.9934348767536059,0.9879109219137013,0.004612670118482626,0.004843303624406757,0.011,0.010094188375546242,0.009906690491556094,1.3838010355447876,0.34929914349049496,19.813380983112186,1002.8854907031152,0.14687022847569667
0.0010392619165333983,0.0002252254305415158,0.0069728057235188485,0.34832475270871116,8.706465709703703e-05,6.962426779979639e-05,0.10395888155756922,6.375367086231815,0.00010330929034525323,0.15406223361036725,8.726831178590226,0.2491015188686415,0.2494099963901756,0.2482655590543649,0.4736415075575287,0.4732033870392532,0.4748308340780173,0.002821817478343256,0.002962908352260419,0.011,0.02,0.004740164121171243,0.8465452435029768,0.2034353605292278,9.480328242342486,1282.1957482381054,0.09570722001087358
0.001042195050032692,0.0002258930003471468,0.00704987264023628,0.3553594292829657,8.747795943217485e-05,0.00010792600861044094,0.1611555062179248,10.422049460894764,0.00021123529895569418,0.31521773982829204,19.14888063948499,0.3859428425906977,0.38696075063742597,0.3840642269865335,0.31416764704286915,0.3132097290680517,0.31594324657870887,0.0021469146201067747,0.0022542603511121135,0.011,0.02,0.003145735186912561,0.6440743860320324,0.15059046256384054,6.291470373825122,1469.7350332195826,0.075413006116412
0.0010444313251723545,0.00022640202993002353,0.007127760983083518,0.36253639518201586,8.775325449076498e-05,0.00014870021569371423,0.22164510722045888,14.344037900866738,0.0003599355146494084,0.5368628470487509,33.492918540351724,0.47470753497646445,0.47625018927340046,0.47193901953512085,0.2407195767498473,0.23960810938021554,0.24272721005045075,0.0017983462990256575,0.0018882636139769403,0.011,0.02,0.0024116261711824858,0.5395038897076972,0.12391226605749661,4.823252342364971,1605.5745600027092,0.06461675891846444
0.001046307618332485,0.00022682915720501046,0.007206481375854611,0.36985842908867017,8.796484948136779e-05,0.00019205829007406963,0.2847688685066437,17.538493178691578,0.000551993804723478,0.8216317155553945,51.031411719043305,0.5375580527622776,0.5395599555982902,0.534031807923335,0.1993537970292845,0.1981601242475801,0.20147390216602973,0.0015863962988024345,0.0016657161137425562,0.011,0.02,0.0019981014360103255,0.4759188896407303,0.10793632057802686,3.996202872020651,1709.2141624413587,0.05792194693586228
0.0010479651362784814,0.00022720650904013167,0.007286044937558994,0.3773284155280724,8.814052015871256e-05,0.00023811277170382374,0.35081303303921324,20.745387332890516,0.0007901065764273018,1.1724447485946077,71.77679905193382,0.5846591923673778,0.5870950200287209,0.580477809330177,0.17308411702042073,0.1718239178303659,0.175268984997985,0.0014440965473825767,0.0015163013747517056,0.011,0.02,0.0017353790270861697,0.433228964214773,0.09732889298253122,3.4707580541723395,1791.2498868490259,0.05336344128623278
0.001049475923665167,0.0002275504778395951,0.007366462813483866,0.3849493170267997,8.829335686742544e-05,0.0002869770244088922,0.419076488029673,23.44332982352967,0.0010770836008361941,1.5915212366242808,95.22012887546349,0.6213873003948214,0.624249968484236,0.6166509256301073,0.15502608263043768,0.1537004185233457,0.15724459171690186,0.001341993016248647,0.0014090926670610796,0.011,0.02,0.001554624056079811,0.4025979048745941,0.08978308332640553,3.109248112159622,1858.0240674390684,0.05005806410831064
0.0010508815797550936,0.00022787052919997925,0.007447746044551515,0.3927241653827116,8.843048392385823e-05,0.00033876489747781735,0.4886025120050306,25.13762579638535,0.0014158484983140115,2.0801237486293114,120.35775467184884,0.650876624566853,0.6541694483846034,0.6457021635181582,0.14190040031686563,0.14050554213946523,0.14412036066763587,0.001265142946220194,0.0013284000935312036,0.011,0.02,0.00142301473671011,0.37954288386605817,0.08414372992472355,2.84602947342022,1913.6166532945956,0.04755049693451905
0.0010522082483879233,0.00022817261219082569,0.007529905545578212,0.40065605872717436,8.855617686037046e-05,0.00039359036439140646,0.5607572674723543,26.684170128971388,0.001809438862705418,2.6408810161016656,147.04192480082023,0.6750885565746034,0.6788206627594038,0.6695930273247651,0.13195878107764264,0.1304895687612453,0.13415236376209722,0.0012051969994227418,0.001265456849393879,0.011,0.02,0.0013230829186267115,0.36155909982682255,0.07977144317116944,2.646165837253423,1960.7462361458079,0.04558278519863696
0.001053473433945972,0.00022846071009328413,0.007612952128577313,0.4087481607265809,8.8673193491736e-05,0.00045156713937743163,0.63499472310392,28.294519469105257,0.00226100600208285,3.2758757392055857,175.3364442699255,0.6953186949150603,0.6995030681139605,0.6896106824497037,0.12418832882081679,0.12263912191014968,0.12633324682265992,0.0011571302044056364,0.0012149867146259183,0.011,0.02,0.001244724807272243,0.3471390613216909,0.07628432316124839,2.489449614544486,2000.0,0.043993819785362896
