h,A,N,c,P,raw_water,raw_fertilizer,raw_temperature,raw_radiation,delayed_water,delayed_fertilizer,delayed_temperature,delayed_radiation,cumulative_water,cumulative_fertilizer,cumulative_temperature,cumulative_radiation,cumulative_divergence_water,cumulative_divergence_fertilizer,cumulative_divergence_temperature,cumulative_divergence_radiation,nuW,nuF,nuT,nuR,ah_hat,aA_hat,aN_hat,ac_hat,aP_hat,kh_hat,kA_hat,kN_hat,kc_hat,kP_hat
0.7025325160044231,0.17697980808490577,16.968920507746233,771.0320714251925,0.004621538385449475,0.00125,0.0,29.0,1728.0,0.016725880132588397,0.07574754102524031,25.718184514154515,618.0778624941321,12.881428766382445,75.02751888333127,21165.969296438492,567745.3402456237,0.32924900536366214,0.34497233781035763,0.033122128261981534,0.0211543845767037,0.3724701126412554,0.35525781297721565,0.9053856338576777,0.938530153081761,0.006708238411055793,0.007043650331608583,0.011,0.010848235020836662,0.0046090446882799735,2.0124715233167376,0.38763093962293804,18.436178753119894,771.0320714251925,0.1546618786187834
0.7056031955624904,0.17765744640079062,16.983707314609767,771.0320714251925,0.004642247594929097,0.00125,0.0,30.2,1882.0,0.016413110350743703,0.07579227175675993,25.717405576790835,621.1264520774696,12.898154646515033,75.1032664243565,21191.687480952645,568363.4181081179,0.3301568802474025,0.3450065728813857,0.03294590827743046,0.021293791014495644,0.3714552660186971,0.355221298239701,0.9058644962175082,0.938136972522874,0.0067082539638881914,0.007043666662082601,0.011,0.0108476397703894,0.004609297603750086,2.012476189166457,0.3874201967292743,18.437190415000345,771.0320714251925,0.1545898030854315
0.7086800465883981,0.17833517106972696,16.998367136900516,771.0320714251925,0.004663047561121785,0.0,0.0,31.1,1970.0,0.016099285955943267,0.07583659597865985,25.720557746119173,624.6100366531055,12.914567756865777,75.17905869611326,21217.404886529435,568984.5445601953,0.3310346848750365,0.34504028184515706,0.03277033633354331,0.021428675783300124,0.3704765939791823,0.35518534810859387,0.906341847857883,0.9377567542982356,0.00670829921191432,0.007043714172510037,0.011,0.010846981092840003,0.004609577501061984,2.012489763574296,0.38721792373841607,18.43831000424793,771.0320714251925,0.15452061904970582
0.7117630394309655,0.17901297602846566,17.012901928257808,771.0320714251925,0.004683938791140573,0.0,0.0,31.8,1986.0,0.01578857395499706,0.07588050994495267,25.72709350576896,628.3086448229155,12.930667042821721,75.25489529209192,21243.125444275556,569609.1545968484,0.3318822563335535,0.34507346929899474,0.032595389840082194,0.021559572687097076,0.369534006083425,0.35514995751590284,0.9068177463632676,0.9373879835820108,0.006708370697137306,0.007043789231994171,0.011,0.010846267312884815,0.004609880851876344,2.012511209141192,0.38702398582054304,18.439523407505376,771.0320714251925,0.15445428103564482
0.7148521418078982,0.17969085494516987,17.02731350351026,771.0320714251925,0.004704921779604514,0.0,0.0,32.2,1932.0,0.015480930393746048,0.07592400992614805,25.7357100449944,631.9957432544926,12.946455616776719,75.33077580203687,21268.852537781324,570237.4632416713,0.33269946125126904,0.34510613985599964,0.032421039591174004,0.021687007167820557,0.36862738895859776,0.35511512138142887,0.9072922677150208,0.9370291688428241,0.006708465055523543,0.00704388830829972,0.011,0.010845506526300454,0.0046102042240949775,2.0125395166570628,0.3868382466352957,18.44081689637991,771.0320714251925,0.15439074301148434
0.7179473188281493,0.18036880122166002,17.041603542453306,771.0320714251925,0.004725997008751343,0.0,0.0,32.3,1648.0,0.01517630127924255,0.07596709220944327,25.74526773289388,634.8629029428108,12.961936547170465,75.40669981196302,21294.58824782632,570869.4589849259,0.33348619400334356,0.3451382981448558,0.0322472530955908,0.021811476347111593,0.36775660755423434,0.35508083461290224,0.9077654974782216,0.936678897789145,0.006708579129123454,0.007044008085579628,0.011,0.010844706327481071,0.004610544397435393,2.012573738737036,0.38666057365933815,18.442177589741572,771.0320714251925,0.15432996021344828
0.7210485330965901,0.18104680801511494,17.0557735979894,771.0320714251925,0.004747164949096915,0.0,0.0,32.1,1629.0,0.014874623860997738,0.07600975309891314,25.754587511723486,637.8132645120929,12.977112848449707,75.48266690417246,21320.333515559214,571504.3218878687,0.3342423749565507,0.3451699488096346,0.0320739973536685,0.021933378081000727,0.3669215073940205,0.35504709210612184,0.9082375231938264,0.9363360292089445,0.006708710406048547,0.007044145926350975,0.011,0.010843872742343693,0.004610898817057999,2.012613121814564,0.38649085882950773,18.443595268231995,771.0320714251925,0.1542718962102708
0.7241557451403748,0.18172486833656326,17.069825121296088,771.0320714251925,0.004768426062243308,0.0,0.0,31.8,1323.0,0.014575827948603085,0.07605198891569864,25.763158011836538,639.8403024356744,12.991987472310704,75.55867665727138,21346.08810307094,572142.1351523808,0.33496794875829183,0.3452010965095988,0.03190124157144107,0.022053096996413103,0.36612191676853834,0.3550138887450938,0.9087084269712459,0.9359994724687154,0.006708856476835638,0.00704429930067742,0.011,0.01084301154662088,0.004611265033244572,2.012656943050691,0.3863289938200678,18.445060132978284,771.0320714251925,0.15421651444787451
0.7272689134513212,0.18240297505737377,17.083759465946326,771.0320714251925,0.004789780801126735,0.0,0.0,31.7,1098.0,0.014279837253588385,0.07609379599819507,25.770779568227454,641.1870222144084,13.006563300259307,75.63472864618707,21371.851261082775,572781.9754548165,0.3356628826747434,0.3452317459190061,0.03172895820913184,0.022170915208482037,0.3653576488159537,0.35498121940217203,0.9091782823852521,0.9356684144305335,0.006709015569564383,0.007044466348042603,0.011,0.010842126968513222,0.00461164125316054,2.012704670869315,0.3861748950528381,18.44656501264216,771.0320714251925,0.15416378680826012
0.7303879949204062,0.18308112100928342,17.097577912789475,771.0320714251925,0.004811229612885079,0.0,0.0,28.0,409.0,0.013986570743329702,0.07613517070223887,25.763113182461822,639.5508468887987,13.020843137512895,75.71082244218526,21397.622040651004,573423.1624770309,0.3363271649828508,0.34526190172691185,0.031557123264220485,0.022287039477061864,0.3646285034878444,0.35494907893819905,0.9096471535642822,0.9353422578678464,0.006709186401770341,0.007044645721858858,0.011,0.010841222048216788,0.004612026188341398,2.0127559205311023,0.38602849718598126,18.44810475336559,771.0320714251925,0.15411369138469186
