1706.00,28.2
1959.00,28.8
1911.00,29.1
1760.00,29.2
1621.00,29
1338.00,28.5
114.00,27.7
82.00,27.2
2.00,25.8
0.00,25.2
0.00,24.7
0.00,24.3
0.00,23.9
0.00,23.6
0.00,23.3
0.00,23.1
0.00,23
0.00,22.9
22.00,23.1
574.00,23.8
1055.00,24.9
1411.00,26.2
1685.00,27.5
1886.00,28.6
2012.00,29.5
2055.00,30.1
2018.00,30.5
1898.00,30.7
1703.00,30.6
1434.00,30.1
1087.00,29
624.00,28.3
24.00,25.8
0.00,25
0.00,24.2
0.00,23.4
0.00,22.6
0.00,22
0.00,21.5
0.00,21.1
0.00,20.8
0.00,20.6
27.00,21.4
592.00,23
1053.00,24.3
1320.00,25.5
1665.00,26.7
1860.00,27.9
1958.00,28.8
1898.00,29.5
1912.00,29.9
1468.00,30
1600.00,29.8
892.00,29.4
359.00,28.7
477.00,28.4
13.00,26.4
0.00,25.6
0.00,24.9
0.00,24.3
0.00,23.7
0.00,23.2
0.00,22.8
0.00,22.4
0.00,22
0.00,21.8
16.00,22.2
567.00,23.4
1042.00,25
1393.00,26.7
1658.00,28
1851.00,29.1
1948.00,29.9
1916.00,30.4
1624.00,30.6
1843.00,30.6
1447.00,30.3
1345.00,29.8
1049.00,29.2
583.00,28.7
25.00,26.5
0.00,26.1
0.00,25.8
0.00,25.3
0.00,24.7
0.00,24.3
0.00,24.1
0.00,24
0.00,23.9
0.00,23.8
13.00,24.3
512.00,25.4
1034.00,26.7
1383.00,27.9
1649.00,28.9
1840.00,29.8
1955.00,30.3
1981.00,30.6
1827.00,30.5
1622.00,30.2
1536.00,29.7
1290.00,28.9
446.00,28
150.00,27.4
7.00,26.3
0.00,25.9
0.00,25.7
0.00,25.5
0.00,25.3
0.00,25.1
0.00,25
0.00,24.8
0.00,24.7
0.00,24.6
14.00,24.8
534.00,25.5
759.00,26.4
1220.00,27.2
864.00,28.1
782.00,28.8
1623.00,29.2
1983.00,29.4
1915.00,29.4
1503.00,29.5
906.00,29.4
1098.00,29.2
275.00,28.7
572.00,28.3
27.00,26.6
0.00,26.1
0.00,25.7
0.00,25.3
0.00,24.9
0.00,24.5
0.00,24.2
0.00,24.1
0.00,24.1
0.00,24.1
16.00,24.5
591.00,25.8
1058.00,27.2
1402.00,28.5
1668.00,29.6
1862.00,30.5
1978.00,31.1
2015.00,31.5
1708.00,31.6
1191.00,31.5
1401.00,31.2
502.00,30.7
887.00,29.8
580.00,29.2
34.00,26.8
0.00,26.1
0.00,25.6
0.00,25.2
0.00,24.8
0.00,24.5
0.00,24.3
0.00,24.1
0.00,24
0.00,23.9
19.00,24.5
633.00,25.9
1090.00,27.4
1427.00,28.6
1684.00,29.7
1872.00,30.6
1907.00,31.3
1866.00,31.7
1860.00,31.9
1731.00,31.7
1394.00,31.3
1419.00,30.6
1086.00,29.6
638.00,29
38.00,27
0.00,26.5
0.00,26
0.00,25.7
0.00,25.3
0.00,25.1
0.00,24.8
0.00,24.7
0.00,24.6
0.00,24.6
18.00,25.3
616.00,26.7
1072.00,28.3
1243.00,29.6
1667.00,30.6
1771.00,31.4
1840.00,31.9
1661.00,32.1
1964.00,32
1677.00,31.7
1652.00,31.2
1390.00,30.5
1051.00,29.5
599.00,28.9
31.00,27.1
0.00,26.7
0.00,26.4
0.00,26.2
0.00,26.2
0.00,26.1
0.00,26.2
0.00,26
0.00,25.5
0.00,25.1
2.00,25.4
264.00,26.4
684.00,27.9
1346.00,29.3
1571.00,30.3
1844.00,31.1
1902.00,31.7
1987.00,31.9
1932.00,31.8
1814.00,31.4
1605.00,30.8
1350.00,30.2
741.00,29.4
335.00,29
6.00,27.3
0.00,26.7
