scenario,ga_revenue,mpc_revenue,mpc_advantage,mpc_advantage_pct,extremity,ga_fruit,mpc_fruit,ga_irrigation,mpc_irrigation,precip_total,temp_mean
normal_1,1024.6846946132189,918.7185649859051,-105.96612962731376,-10.341340139496483,0.0,0.2350630838930558,0.2022777903669325,0.2888413258109277,4.29686311011972,31.466249952,22.81727635674459
moderate_variable,1023.3421309236745,918.9600196224494,-104.38211130122511,-10.200118625723855,0.0,0.2348297386763182,0.20239103656791954,0.2888413258109277,4.273533369682744,31.466249952,22.806219904119658
baseline,1025.114133377052,916.4663353838864,-108.64779799316557,-10.59860501925236,0.0,0.2351387079802846,0.2019609294667365,0.2888413258109277,4.328706833439451,31.466249952,22.821482240437156
normal_2,1033.6274681155905,964.008055766871,-69.6194123487195,-6.735445264012078,0.2000000000000001,0.236725377050353,0.20989005296327523,0.2888413258109277,3.923269816707072,29.8929374544,23.322283494883433
normal_3,988.5831978348939,882.0303919992909,-106.55280583560295,-10.778334698482164,0.2000000000000001,0.2280272769829783,0.19617876128549355,0.2888413258109277,4.555869959587988,33.0395624496,22.32105232152131
normal_4,1019.7519830520836,1005.0040620839434,-14.747920968140193,-1.44622626023243,0.39999999999999997,0.2336337306382039,0.21683170722622078,0.2888413258109277,3.984553229780265,28.319624956800002,23.836748977982886
normal_5,946.2833473988784,853.7118320515518,-92.57151534732657,-9.782642334538064,0.4000000000000002,0.2194399496467017,0.19109985816400737,0.2888413258109277,4.493587988087017,34.612874947200005,21.831446026703592
moderate_cool,899.5311887042127,808.8672631992627,-90.66392550495004,-10.079019676410853,0.6000000000000002,0.2107611724060183,0.18445877604031702,0.2888413258109277,4.469428388957028,34.612874947200005,20.81223761976086
moderate_wet,884.0716584737678,774.8672123215697,-109.2044461521981,-12.352442825814036,0.7,0.2059306060344024,0.17727776298981504,0.2888413258109277,5.326446975752377,39.33281244,21.82227466571157
moderate_warm,972.9596921321248,956.5972297073728,-16.36246242475204,-1.681720482057757,0.7,0.2256176916338025,0.211800924380511,0.2888413258109277,4.154137585219942,28.319624956800002,25.31392908265681
moderate_dry,918.9940958912802,974.1157269883632,55.12163109708308,5.998039741879271,0.8,0.2142242989844071,0.21326589276347843,0.2888413258109277,4.5080274279127925,23.599687464,24.323437538805464
wet_year,779.1468145497109,672.000683001985,-107.14613154772599,-13.751725547340973,1.0999999999999999,0.1852316924342811,0.159781723613138,0.2888413258109277,5.849879166551563,44.0527499328,21.321227481482335
cool_wet,789.1465767983146,677.8304018074722,-111.31617499084246,-14.10589341240873,1.1,0.1879194004718245,0.1615022926211565,0.2888413258109277,5.477239357806739,40.9061249376,20.316554016523956
mild_drought,799.7216713800113,867.0630200747821,67.34134869477077,8.420598203693237,1.3,0.1896955501165786,0.1929238148578886,0.2888413258109277,5.399051601340595,17.795249976,23.817864852756077
late_drought,825.7049273470963,882.7896059608383,57.084678613742085,6.9134477369717535,1.52,0.1954227828022582,0.19584432147232222,0.2888413258109277,5.090458476153601,18.0951749664,23.81499690818271
early_drought,810.688819402187,877.8048060892354,67.11598668704835,8.278883966420135,1.6400000000000001,0.1921199548625225,0.19607847449947843,0.2888413258109277,5.375785190596434,19.12922914344,24.311660392069466
heat_stress,919.1086429233916,974.1880008187582,55.07935789536657,5.992692846427458,1.6999999999999997,0.2149250799402716,0.21566402893551373,0.2888413258109277,4.364781474056295,25.172999961600002,25.09434351939092
summer_drought,855.8591740677269,914.4674241676042,58.608250099877296,6.84788477774025,1.7,0.2020782567669553,0.2048979097398209,0.2888413258109277,5.0095776290200185,21.30117497424,24.82292772478582
multiple_heatwaves,957.5007985113497,982.7999183792389,25.299119867889203,2.6422035268505653,2.26,0.2222678072292994,0.21611307099963906,0.2888413258109277,4.174914696234124,26.7463124592,24.82608222467448
extreme_drought_heat,572.0289006722854,615.9443789832872,43.91547831100172,7.67714328059114,4.97,0.1460987116494633,0.1525376420792013,0.2888413258109277,6.343038823071427,8.98884999064,26.312490200290725
worst_case,491.49679677141614,522.9069140316934,31.410117260277275,6.390706402687991,8.38,0.1313574192473358,0.13572118257146298,0.2888413258109277,5.738720387320702,6.191864573264999,27.960886653403676
