scenario,fixed_ga_revenue,mpc_revenue,mpc_advantage,mpc_advantage_pct,extremity,ga_fruit,mpc_fruit,ga_irrigation,mpc_irrigation,ga_fertilizer,mpc_fertilizer,precip_total,temp_mean
normal_1,783.5966757553592,849.8832009673936,66.28652521203435,8.459265750219844,0.0,0.2153268499736279,0.1834678373187659,14.969088579300001,1.3376909079419708,307.085205614,215.63558992524435,31.466249952,22.81727635674459
moderate_variable,783.6189634066786,847.4332028348218,63.814239428143196,8.143529241650729,0.0,0.2153268499736279,0.18312379935051193,14.969088579300001,1.354161221731657,307.085205614,216.4003203272915,31.466249952,22.806219904119658
baseline,783.9774399744372,848.3962203962496,64.41878042181247,8.216917622516402,0.0,0.2153268499736279,0.18333651057026415,14.969088579300001,1.3613973127836916,307.085205614,216.83231780737208,31.466249952,22.821482240437156
normal_2,819.0900899758024,877.3993608439011,58.30927086809879,7.118786026311389,0.2000000000000001,0.2153268499736279,0.18879474077860292,14.969088579300001,1.357445636685172,307.085205614,216.9441441978156,29.8929374544,23.322283494883433
normal_3,739.1944924703068,815.4597775696907,76.26528509938385,10.317350288218956,0.2000000000000001,0.2153268499736279,0.17722428295000242,14.969088579300001,1.4026542954734722,307.085205614,221.63241953471243,33.0395624496,22.32105232152131
normal_4,842.2804411633756,885.5134926482982,43.23305148492261,5.132857106975938,0.39999999999999997,0.2153268499736279,0.19042023330247418,14.969088579300001,1.4297048320401191,307.085205614,219.03407808181834,28.319624956800002,23.836748977982886
normal_5,695.5560890285335,774.3387543492839,78.78266532075043,11.326572588960335,0.4000000000000002,0.2153268499736279,0.17153408025307282,14.969088579300001,1.5902397716442116,307.085205614,241.7026900977105,34.612874947200005,21.831446026703592
moderate_cool,651.683772662567,735.6284429650548,83.9446703024878,12.881196958383251,0.6000000000000002,0.2153268499736279,0.16409874964602936,14.969088579300001,1.511700733496422,307.085205614,239.09488338667973,34.612874947200005,20.81223761976086
moderate_wet,629.1164535917351,715.7727392189469,86.65628562721179,13.774283780447325,0.7,0.2153268499736279,0.1600437570798882,14.969088579300001,1.6615391363465937,307.085205614,249.63162061673154,39.33281244,21.82227466571157
moderate_warm,791.3594207040858,845.881482761414,54.522062057328185,6.889671195020208,0.7,0.2153268499736279,0.18505754030119317,14.969088579300001,1.4849857465332488,307.085205614,233.31232226766232,28.319624956800002,25.31392908265681
moderate_dry,912.5444043340879,796.3072215720752,-116.23718276201271,-12.737701552927128,0.8,0.2153268499736279,0.17576238382146342,14.969088579300001,1.6312626033169138,307.085205614,241.59525452314574,23.599687464,24.323437538805464
wet_year,550.8626547343833,632.9802004082421,82.11754567385879,14.907081641512706,1.0999999999999999,0.2153268499736279,0.14502578652587858,14.969088579300001,1.6836691165109297,307.085205614,261.88103008365516,44.0527499328,21.321227481482335
cool_wet,549.8321068614614,640.7716869786263,90.93958011716495,16.539517969633334,1.1,0.2153268499736279,0.14658107839476808,14.969088579300001,1.596105594782239,307.085205614,255.02273001122603,40.9061249376,20.316554016523956
mild_drought,997.1507005765159,717.3645760381605,-279.78612453835535,-28.058559691789142,1.3,0.2153268499736279,0.1611021952046704,14.969088579300001,1.8991552568723022,307.085205614,261.72661351428155,17.795249976,23.817864852756077
late_drought,990.5067225044666,700.0231892854626,-290.4835332190039,-29.326760396388323,1.52,0.2153268499736279,0.15610841770415285,14.969088579300001,1.5145926762790196,307.085205614,234.97273179620873,18.0951749664,23.81499690818271
early_drought,993.3058615276695,726.6404449295533,-266.6654165981163,-26.846254202909286,1.6400000000000001,0.2153268499736279,0.16313286420530987,14.969088579300001,1.8766271515919544,307.085205614,261.4397659360102,19.12922914344,24.311660392069466
heat_stress,854.6676916056008,795.0220826057483,-59.64560899985247,-6.978807036428473,1.6999999999999997,0.2153268499736279,0.17582542986916808,14.969088579300001,1.595665559152535,307.085205614,240.07206740779097,25.172999961600002,25.09434351939092
summer_drought,943.5042591553852,746.2865568369295,-197.21770231845562,-20.902682781209993,1.7,0.2153268499736279,0.16677343170316397,14.969088579300001,1.6652768446378532,307.085205614,248.029593350578,21.30117497424,24.82292772478582
multiple_heatwaves,836.5668248450675,829.4862301317751,-7.080594713292385,-0.8463872225155131,2.26,0.2153268499736279,0.18168713339350268,14.969088579300001,1.5369180983004473,307.085205614,233.71434606680876,26.7463124592,24.82608222467448
extreme_drought_heat,835.6084487685282,518.465160234979,-317.14328853354925,-37.953576103848256,4.97,0.2153268499736279,0.12755283314549826,14.969088579300001,1.9842673366377526,307.085205614,307.1259016527236,8.98884999064,26.312490200290725
worst_case,733.8062704699087,444.9332653957373,-288.8730050741714,-39.36638547517253,8.38,0.2153268499736279,0.11342734125809546,14.969088579300001,1.831156157000096,307.085205614,302.07137634659426,6.191864573264999,27.960886653403676
