scenario,revenue,profit,expenses,fruit_biomass,height,leaf_area,total_irrigation,total_fertilizer,runtime_seconds,precip_total,temp_mean,extremity
normal_1,918.7185649859051,1102.4031251793003,183.68456019339519,0.2022777903669325,2.472858358599188,0.538218211606879,4.29686311011972,285.16422471198007,19.54563879966736,31.466249952,22.81727635674459,0.0
normal_2,964.008055766871,1140.507479054976,176.49942328810505,0.20989005296327523,2.512296818678236,0.551471417277502,3.923269816707072,274.6789636069884,20.29098105430603,29.8929374544,23.322283494883433,0.2000000000000001
normal_3,882.0303919992909,1071.7313348948528,189.7009428955619,0.19617876128549355,2.432286819822016,0.5283991092122603,4.555869959587988,294.1192230885764,24.450405836105347,33.0395624496,22.32105232152131,0.2000000000000001
normal_4,1005.0040620839434,1174.8677531220578,169.86369103811438,0.21683170722622078,2.5560319779223044,0.5604908685492775,3.984553229780265,263.67196185432226,24.225126266479492,28.319624956800002,23.836748977982886,0.39999999999999997
normal_5,853.7118320515518,1046.9819529755252,193.2701209239734,0.19109985816400737,2.396939249944746,0.5241614437098894,4.493587988087017,300.1350894915299,20.71728014945984,34.612874947200005,21.831446026703592,0.4000000000000002
moderate_dry,974.1157269883632,1155.6567418601953,181.5410148718321,0.21326589276347843,2.5490023079077555,0.5460857594695111,4.5080274279127925,280.9852768990334,19.797053813934326,23.599687464,24.323437538805464,0.8
moderate_wet,774.8672123215697,982.0465690671936,207.1793567456238,0.17727776298981504,2.4365591806554256,0.5017718718119846,5.326446975752377,320.0756723031255,20.053054809570312,39.33281244,21.82227466571157,0.7
moderate_warm,956.5972297073728,1146.8149654886936,190.2177357813208,0.211800924380511,2.482685612994746,0.5460783978632725,4.154137585219942,296.26947982228165,19.42828106880188,28.319624956800002,25.31392908265681,0.7
moderate_cool,808.8672631992627,1009.8372820833118,200.97001888404918,0.18445877604031702,2.303165841481919,0.5041159267536465,4.469428388957028,312.7543356777445,18.012709856033325,34.612874947200005,20.81223761976086,0.6000000000000002
moderate_variable,918.9600196224494,1103.0567832895874,184.09676366713796,0.20239103656791954,2.4745771664168386,0.5386347429663069,4.273533369682744,285.91155851428744,21.131447076797485,31.466249952,22.806219904119658,0.0
mild_drought,867.0630200747821,1058.0272719817337,190.96425190695157,0.1929238148578886,2.604832862613127,0.503940212431023,5.399051601340595,293.43020961607556,21.863869190216064,17.795249976,23.817864852756077,1.3
summer_drought,914.4674241676042,1112.969635369265,198.5022112016608,0.2048979097398209,2.5265808465760595,0.5243888716134881,5.0095776290200185,306.9756611459622,20.166476011276245,21.30117497424,24.82292772478582,1.7
early_drought,877.8048060892354,1072.4607843568863,194.65597826765082,0.19607847449947843,2.568527920929332,0.5116888167520036,5.375785190596434,299.5185796196384,20.35480785369873,19.12922914344,24.311660392069466,1.6400000000000001
late_drought,882.7896059608383,1068.6996123569634,185.91000639612506,0.19584432147232222,2.5789502786536467,0.49734475373140347,5.090458476153601,286.2037287358597,23.27892780303955,18.0951749664,23.81499690818271,1.52
wet_year,672.000683001985,892.7685246499806,220.76784164799562,0.159781723613138,2.390612055536695,0.4561322447801495,5.849879166551563,340.50176435650246,26.015779972076416,44.0527499328,21.321227481482335,1.0999999999999999
cool_wet,677.8304018074722,895.399534922226,217.56913311475387,0.1615022926211565,2.256672221626194,0.4545618837263388,5.477239357806739,336.50595179013095,23.621558904647827,40.9061249376,20.316554016523956,1.1
heat_stress,974.1880008187582,1165.8933582985871,191.705357479829,0.21566402893551373,2.4974313965076753,0.5524573518966621,4.364781474056295,298.0061800190821,22.653496026992798,25.172999961600002,25.09434351939092,1.6999999999999997
multiple_heatwaves,982.7999183792389,1169.297445436819,186.49752705758024,0.21611307099963906,2.5009567501699244,0.5584222941045478,4.174914696234124,290.1428300734723,21.074249982833862,26.7463124592,24.82608222467448,2.26
extreme_drought_heat,615.9443789832872,851.4092233086003,235.46484432531312,0.1525376420792013,2.438331256381603,0.40593080038510887,6.343038823071427,362.8318675556519,24.200485944747925,8.98884999064,26.312490200290725,4.97
worst_case,522.9069140316934,762.3051402944913,239.39822626279783,0.13572118257146298,2.304932830856656,0.36127083149533923,5.738720387320702,371.2064910230561,24.010358095169067,6.191864573264999,27.960886653403676,8.38
baseline,916.4663353838864,1100.444955417733,183.9786200338465,0.2019609294667365,2.466015539577396,0.5367826763048682,4.328706833439451,285.53942405043585,26.23237180709839,31.466249952,22.821482240437156,0.0
