Plant Height (m),Leaf Area (m2),Canopy Biomass (kg),Fruit Biomass (kg)
0.01,1e-05,0.01,0.01
0.01210391291798639,1e-05,0.01001215430153168,0.01
0.014617759391802841,1e-05,0.010024323226193312,0.01
0.017644451227796232,1e-05,0.010036506791214534,0.01
0.02128440568296902,1e-05,0.010048705013844387,0.01
0.02565580369481605,1e-05,0.010060917911351353,0.01
0.030896876568282855,1e-05,0.010073145501023372,0.01
0.037168087231908876,1e-05,0.010085387800167864,0.01
0.044653973951127975,1e-05,0.01009764482611173,0.01
0.0535643196743746,1e-05,0.010109916596201394,0.01
0.06413418255033895,1e-05,0.010122203127802805,0.01
0.07662217988016695,1e-05,0.01013450443830149,0.01
0.09130627708237865,1e-05,0.010146820545102521,0.01
0.10847622962067428,1e-05,0.010159151465630574,0.01
0.12842181463302824,1e-05,0.010171497217329949,0.01
0.15141614717609614,1e-05,0.010183857817664562,0.01
0.17769379360981863,1e-05,0.010196233284117999,0.01
0.20742415042555853,1e-05,0.010208623634193502,0.01
0.24068167344627445,1e-05,0.010221028885414027,0.01
0.277415925589543,3.5186846154906496e-05,0.01024388739786241,0.01
0.3174257945284393,7.442598425921708e-05,0.01031126111784129,0.01
0.3603431665280511,0.00011743755761406866,0.010430912618409456,0.01
0.40563128779306973,0.00016443972407655325,0.010609609231261542,0.01
0.45260157075617446,0.00021566199625016683,0.010855682342390073,0.01
0.5004496659850969,0.00027123454696223464,0.011179394612189995,0.01
0.5483077587994467,0.0003307089313825023,0.011593023860970136,0.01
0.5953063323273966,0.0003943065573101452,0.01211150650647597,0.01
0.6406362979425623,0.0004619316969839559,0.012753522102315935,0.01
0.6836022799067254,0.0005337163411372162,0.013542491527770166,0.01
0.7236600024960894,0.0006098470254037014,0.01450823916680483,0.01
0.760434385093465,0.0006900400224687975,0.01568858872930068,0.01
0.793737714128527,0.0007723076561187239,0.01712966954607758,0.01
0.8234763841378794,0.0008600007445045857,0.018891937148396137,0.01
0.8497445919931479,0.0009559379187367837,0.021061307118121892,0.01
0.8727123387022464,0.0010520860034419933,0.02374423072046591,0.01
0.8926161421913003,0.001151859719479784,0.027072604183512813,0.01
0.9097318972801812,0.0012534965521119993,0.03122229522034591,0.01
0.924352518522121,0.0013574012027896206,0.03642184826512249,0.01
0.9367708872400886,0.0014669003115267657,0.042980978684261734,0.01
0.9472678304744537,0.0015253321914544128,0.05120245147738467,0.01
0.9561044172787048,0.0015626765439413894,0.061185995005987856,0.01
0.963517687422427,0.0015983075691909316,0.07326915899266014,0.01
0.969718935666247,0.0016337351357506972,0.08786423123012736,0.01
0.9748937806514436,0.0016683247358313359,0.10544149306553524,0.01
0.979203392759554,0.0017044551925155427,0.1265280766581065,0.01
0.9827864036433188,0.0017451804020625827,0.15172543782115303,0.01
0.9857611522606281,0.0017969024929805112,0.18174286938810358,0.01
0.9882280304753737,0.0018407167414562617,0.21718824504051237,0.01
0.9902717747860804,0.0018787235815489745,0.2583453203009229,0.010516258420653556
0.9919636121357325,0.0019088295151129732,0.30517520080068705,0.014574281866053375
0.9933632110064368,0.0019300869388166175,0.3571647071670609,0.020665473391555614
0.9945204182021907,0.0019648297778967036,0.4136046447005226,0.03253733814397607
0.9954767805119916,0.002009238913254123,0.47364812508246046,0.054749295334851046
0.9962668618019784,0.002049836425686822,0.5358005765943509,0.09855397762532286
0.9969193723143139,0.002086764386882864,0.5980465835656786,0.18902982979421495
0.9974581297645975,0.0021192598647748985,0.6582851041828672,0.38123258631673157
0.997902872459687,0.002144881547913755,0.7145827443081884,0.7838676778877727
0.9982699439633628,0.002151176306168938,0.7653061368577063,1.4187862934621853
0.9985728674018002,0.0021700789491717067,0.8096765188137471,2.4655706815190546
0.9988228257090491,0.002195456695430807,0.8476994960316444,3.6268288085895533
0.9990290622094157,0.0022191360751040662,0.879592305693375,4.415247630359278
0.9992173281862202,0.002240156157742373,0.9057951759213384,4.787256246894059
0.9993545317428653,0.002260560547761645,0.9269496501139463,4.928831178869875
0.9994677225568008,0.0022719615035905524,0.9437581724502759,4.973709755467877
0.9995611043477309,0.0022902965856879585,0.9569564897414251,4.9917961688268315
0.9996381470961381,0.0023012640238751795,0.9672246888676019,4.997484203558377
0.9997017147864885,0.0023106025669971187,0.9751384651954212,4.999237930430381
0.9997541710478951,0.0023145251629877028,0.981194433713094,4.999771242783273
0.9997974664711624,0.002332268299824766,0.9858153866417333,4.999928181930725
0.9998332107487439,0.0023034304903241714,0.9893071245006544,4.9999786980276735
0.9998627322530023,0.002251984320995705,0.9919068936295494,4.999993705900663
0.999887127223631,0.002257732298726682,0.9938605382875301,4.999998145606941
0.9999073003640495,0.0022820724473776046,0.9953532788168842,4.9999993128834195
0.9999239983376164,0.002308049206205784,0.9964952879684859,4.999999760464006
0.9999378373976825,0.0023334209752600547,0.9973657736645984,4.999999905913262
0.9999493261723723,0.0023610886454316225,0.99802697186565,4.999999963129193
0.999958884448322,0.002390574965674317,0.9985276775823184,4.999999985714672
0.9999668586513532,0.0024132298265066034,0.9989050223290388,4.99999999501016
0.9999735346010569,0.002338600860589038,0.9494686894340242,4.31182096252311
0.9999791480162598,0.002238662629670558,0.9148620548425854,4.073411209429067
0.9999838931657042,0.0021379992905854383,0.890018306984763,3.965385519976258
0.9999879299900337,0.0020755457169831545,0.8716018660990252,3.9069133432557104
0.9999913899648114,0.002070877878147989,0.8574077588417692,3.8360524189852585
0.9999943809277626,0.0020604869880765132,0.8462138550594491,3.7961201892165173
0.9999969910549629,0.0020324448056042665,0.8373716815062877,3.7885765267043405
0.9999992921388957,0.002014898540866845,0.8303539664429304,3.759248348075061
0.9271399180852973,0.002020773817391605,0.8247089668713307,3.6989843803640072
0.8406883009204695,0.0019752533357376054,0.8201782395417186,3.734123319481753
0.7736295849718009,0.0020121316265385167,0.8165045914597505,3.611121880384898
0.7202160380140001,0.0020751782352904733,0.8134437125978209,3.4457259317699034
0.6767670113017703,0.0021322952636078055,0.8108921751209252,3.35406628379565
0.6408340017146977,0.002115583023303613,0.8088112340036742,3.447547631954725
0.6106622512845001,0.0020340565507479527,0.8071656852810961,3.6051375511428643
0.585043210176611,0.0020088178814564954,0.8058613564055115,3.5917987836835064
0.563071421217948,0.001986727092138615,0.8048072099135537,3.5719326939556195
0.5440656515562347,0.0019389500929113247,0.8039571373606743,3.597904935828692
0.5275034621088375,0.0018670288361860717,0.8032772979133159,3.6608880783077082
0.5129774360525775,0.0017767049719700804,0.8027365218303448,3.7090591558805786
0.5001651372308686,0.001684272044567965,0.8023060332474838,3.7322352535142036
0.48880802253326,0.0015979785903018039,0.8019607343239367,3.7431520006497894
0.47869634139120626,0.0015176449195686294,0.8016810736463487,3.7481666037767964
0.46965812842905946,0.0014441242648290447,0.8014524021409469,3.750376790330588
0.46155105052979795,0.0013726064673317852,0.801263922695673,3.751272779048283
0.45425628031935567,0.0013211244601002371,0.8011066777014481,3.7170618486678735
0.4476738316741725,0.0013293376239078088,0.8009711910568795,3.5653370056111067
0.44171896564812907,0.0013215769885038774,0.8008522669959329,3.4982616767168726
0.43631939067946995,0.0013001775712649679,0.8007489796891623,3.479923994996943
0.4314130594596749,0.001242408326134297,0.8006607588136401,3.6115828864518402
0.42694641910864395,0.0011803122103518728,0.8005863936556447,3.6825581798201523
0.4228730093561941,0.0011228001914465413,0.800523487920166,3.7176784473809
0.4191523304850622,0.0010700216255679516,0.8004698875628934,3.734774085681983
0.41574892226900717,0.0010290364229229394,0.8004237412041407,3.67548047800108
0.4126316093280032,0.000990414096522215,0.800383633442552,3.6351118471544073
0.4097728787706491,0.0009625761678504277,0.8003484697595179,3.563853609584521
0.40714836376626024,0.0009533117932886141,0.8003171198661625,3.460485586672579
0.4047364125260445,0.0009245739227357708,0.8002891228911669,3.458282091476836
0.4025177265953554,0.0008813867816879247,0.8002645284032637,3.6037333285936195
0.4004750557380368,0.00083786879783291,0.8002430630025379,3.6783053607064775
0.39859293929585765,0.0007976366570526903,0.8002242643765701,3.7153236436048855
0.39685748592450537,0.0007598507718081709,0.80020771747641,3.733400478320707
0.3952561851843359,0.0007236961589666798,0.8001930941002696,3.742152808914926
0.3937968424083646,0.0006860510356406965,0.8001801536000925,3.7463692445262504
