Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.0010351185990859354,0.00022428258048315828,0.006904132507520779,0.3455423097708295,8.62276757366898e-05
2,0.0010357548301484516,0.00022442732322751268,0.006911721617835596,0.34625851433785215,8.624845992759249e-05
3,0.0010363914520479128,0.00022457215932764838,0.006919319064215774,0.3469762029751282,8.62692491256369e-05
4,0.00103702846502414,0.00022471708884370644,0.006926924855804697,0.3476953787561665,8.629004333202805e-05
5,0.0010376658693171015,0.00022486211183586657,0.006934539001755747,0.34841604476083415,8.63108425479712e-05
6,0.001038303665166912,0.00022500722836434712,0.006942161511232316,0.34913820407536966,8.633164677467194e-05
7,0.0010389418528138333,0.00022515243848940522,0.00694979239340782,0.34986185979239603,8.635245601333614e-05
8,0.0010395804324982744,0.00022529774227133663,0.006957431657465707,0.35058701501093403,8.637327026516997e-05
9,0.0010402194044607917,0.00022544313977047593,0.006965079312599467,0.35131367283641535,8.639408953137984e-05
10,0.0010408587689420884,0.00022558863104719647,0.006972735368012646,0.35204183638069575,8.641491381317251e-05
11,0.0010414353598524185,0.00022571984311282178,0.006980398897977158,0.352894583960716,8.643273678784054e-05
12,0.0010419603401811144,0.0002258393149901113,0.006988069857387915,0.3538792477270072,8.644821245441163e-05
13,0.0010424426488912246,0.000225949079944824,0.0069957482162933985,0.35500132006669927,8.646183316253389e-05
14,0.001042889381675493,0.00022605075202636026,0.007003433957107068,0.35626483441346923,8.647396924150904e-05
15,0.0010433061795407077,0.000226145614421758,0.007011127072321995,0.35767267273393144,8.648490135396715e-05
16,0.001043697554714651,0.0002262346935700342,0.007018827562604958,0.3592268175633336,8.649484457860286e-05
17,0.001044067146253299,0.00022631881729486455,0.007026535435203888,0.36092855871737384,8.65039657842997e-05
18,0.0010444179154613232,0.00022639865925165213,0.007034250702621759,0.36277866206912784,8.65123960675225e-05
19,0.0010447522941095598,0.00022647477264003832,0.007041973381517765,0.36477750653568136,8.652023968042005e-05
