Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.0010351185991792412,0.00022428258054863203,0.006904132507520779,0.3455423099384426,8.622767574292162e-05
2,0.001035754830335178,0.00022442732335857326,0.006911721617835596,0.3462585146741212,8.624845994006062e-05
3,0.0010363914523281747,0.00022457215952440899,0.006919319064215774,0.34697620348110114,8.626924914434586e-05
4,0.0010370284653980523,0.00022471708910628044,0.006926924855804697,0.3476953794328963,8.629004335698233e-05
5,0.001037665869784779,0.0002248621121643675,0.006934539001755747,0.34841604560937883,8.631084257917533e-05
6,0.00103830366572847,0.00022500722875888867,0.006942161511232316,0.3491382050967924,8.633164681213044e-05
7,0.0010389418534693868,0.0002251524389501012,0.00694979239340782,0.34986186098776517,8.635245605705352e-05
8,0.0010395804332479388,0.00022529774279830107,0.006957431657465707,0.35058701638132306,8.637327031515074e-05
9,0.0010402194053046824,0.00022544314036382297,0.006965079312599467,0.3513136743829029,8.639408958762855e-05
10,0.001040858769880321,0.0002255886317070404,0.006972735368012646,0.35204183810436573,8.641491387569368e-05
11,0.0010414353608680996,0.00022571984383062645,0.006980398897977158,0.35289458585662825,8.643273685554974e-05
12,0.0010419603412615205,0.00022583931575911794,0.006988069857387915,0.3538792497911204,8.64482125264843e-05
13,0.001042442650026592,0.00022594908075958584,0.0069957482162933985,0.35500132229567816,8.646183323833202e-05
14,0.0010428893828581924,0.00022605075288241564,0.007003433957107068,0.3562648368045691,8.647396932053051e-05
15,0.001043306180764676,0.000226145615315398,0.007011127072321995,0.3576726752849227,8.648490143581038e-05
16,0.0010436975559749949,0.000226234694498135,0.007018827562604958,0.35922682027244823,8.649484466294191e-05
17,0.001044067147546014,0.00022631881825476403,0.007026535435203888,0.36092856158326486,8.65039658708665e-05
18,0.0010444179167830902,0.00022639866024105808,0.007034250702621759,0.36277866509083645,8.651239615609387e-05
19,0.0010447522954575962,0.0002264747736569586,0.007041973381517765,0.3647775097126097,8.652023977080807e-05
20,0.001045072298268092,0.00022654761682706033,0.007049703491801307,0.3669251979217282,8.652758058185468e-05
21,0.0010453836874000876,0.00022661850090793464,0.007057441390571526,0.36917671952295705,8.653462461825253e-05
22,0.0010456873691181915,0.00022668763206046752,0.007065187113106401,0.3715297932614756,8.654140650562882e-05
23,0.0010459841174825096,0.0002267551863712189,0.007072940693535649,0.3739823092981892,8.654795534102436e-05
24,0.0010462745983843696,0.00022682131532008202,0.007080702164816368,0.3765323281549526,8.655429578133054e-05
25,0.0010465593884479028,0.00022688615008004532,0.007088471558736469,0.3791780767936251,8.656044888179637e-05
26,0.0010468389900395402,0.00022694980493159027,0.007096248905937154,0.3819179428613508,8.656643274928027e-05
27,0.0010471138432955889,0.00022701237999876373,0.0071040342359481035,0.3847504678317358,8.657226305649531e-05
28,0.0010473843358423404,0.0002270739634603465,0.007111827577230797,0.3876743395543726,8.65779534507536e-05
29,0.0010476508107138305,0.00022713463335102067,0.007119628957226659,0.39068838456919425,8.65835158817826e-05
30,0.0010479135728493655,0.00022719445903945928,0.007127438402407677,0.3937915604301784,8.658896086684233e-05
31,0.0010481768595760339,0.00022725440487157144,0.0071352564472743595,0.39691121990931544,8.659442044193819e-05
32,0.0010484406430374342,0.00022731446451228408,0.007143083097635821,0.4000479028739166,8.659989374488461e-05
33,0.0010487048978745934,0.00022737463219456622,0.007150918359644793,0.40320211363486924,8.660537998967527e-05
34,0.0010489696009365562,0.0002274349026536001,0.007158762239756587,0.40637432551571767,8.661087845777196e-05
35,0.0010492347310316948,0.0002274952710702147,0.0071666147446941735,0.40956498473909986,8.661638849060324e-05
36,0.0010495002687130547,0.0002275557330220611,0.007174475881418321,0.4127745137492984,8.66219094830768e-05
37,0.0010497661960922973,0.00022761628444129266,0.007182345657101932,0.41600331406628044,8.662744087794572e-05
38,0.001050032496677788,0.0002276769215777373,0.007190224079107897,0.41925176874833014,8.663298216089698e-05
39,0.0010502991552331677,0.00022773764096672874,0.007198111154969898,0.42252024452599646,8.66385328562543e-05
40,0.0010505661576533719,0.00022779843940090683,0.0072060068923757055,0.4258090936586785,8.664409252320506e-05
41,0.0010508412351387573,0.00022786107666405362,0.0072139122288203406,0.428980053394415,8.664990419242185e-05
42,0.0010511241506731253,0.00022792549888684592,0.007221827085033933,0.4320441483672214,8.665596379182395e-05
43,0.001051414673984623,0.00022799165373298052,0.007229751393389978,0.4350110410144307,8.666226710066108e-05
44,0.0010517125817718594,0.00022805949045072085,0.0072376850960384825,0.4378892381499587,8.666880978855321e-05
45,0.0010520176578276026,0.00022812895990112568,0.007245628143388431,0.4406862610187045,8.667558744903189e-05
46,0.0010523296930805828,0.0002282000145676324,0.007253580492865682,0.44340878612050705,8.66825956282497e-05
47,0.0010526484855722996,0.0002282726085508422,0.007261542107889719,0.4460627624856975,8.668982984945669e-05
48,0.001052973840382718,0.0002283466975516679,0.007269512957025534,0.44865350986264446,8.669728563377854e-05
49,0.0010533055695162434,0.0002284222388454378,0.0072774930132766275,0.45118580134187886,8.670495851777129e-05
50,0.0010536434917572924,0.00022849919124907675,0.007285482253492437,0.45366393321952364,8.671284406817219e-05
51,0.0010539887701637176,0.00022857781961935081,0.0072934807484909,0.4560777024947936,8.672098512017662e-05
52,0.0010543412129767943,0.0002286580803858375,0.0073014884721284866,0.45843191943293826,8.67293773335319e-05
53,0.0010547006341693128,0.00022873993128116418,0.007309505402000947,0.460730916669836,8.673801633951616e-05
54,0.0010550668534194017,0.00022882333133507885,0.0073175315189627065,0.4629786080139821,8.674689775859523e-05
55,0.0010554396960535013,0.00022890824086149915,0.007325566806719091,0.46517853873516923,8.675601721565843e-05
56,0.001055818992964668,0.00022899462143994643,0.0073336112514788224,0.46733392874228274,8.676537035311103e-05
57,0.001056204580511391,0.00022908243589254436,0.007341664841656625,0.46944770979566597,8.677495284207253e-05
58,0.001056596300401259,0.00022917164825756923,0.007349727567617708,0.47152255769405355,8.678476039190385e-05
59,0.0010569939995630994,0.00022926222376037648,0.0073577994214573846,0.47356092021097207,8.679478875826242e-05
60,0.001057397530010608,0.00022935412878239038,0.0073658803968103,0.4755650414221922,8.68050337498626e-05
61,0.0010578114668591929,0.0002294484051989243,0.007373970699498208,0.47750338897822375,8.681567249153468e-05
62,0.0010582356052931054,0.00022954500651548352,0.007382070304740665,0.47938099082269,8.682670156378048e-05
63,0.001058669742028112,0.0002296438865851477,0.007390179191394791,0.48120237027628293,8.683811725503935e-05
64,0.001059113675780836,0.0002297449997153358,0.007398297341490694,0.48297160779805753,8.684991559874295e-05
65,0.0010595672076667397,0.00022984830075833441,0.0074064247398362175,0.48469239395856994,8.686209240738166e-05
66,0.0010600301415348474,0.00022995374518743265,0.0074145613736793054,0.4863680750350401,8.687464330373775e-05
67,0.0010605022842465125,0.0002300612891603266,0.00742270723241849,0.48800169238889485,8.688756374944713e-05
68,0.001060983445904797,0.00023017088957128775,0.007430862307353714,0.489596016584323,8.690084907105364e-05
69,0.001061473440040357,0.00023028250409343673,0.007439026591471131,0.49115357704291007,8.691449448371952e-05
70,0.001061972083759107,0.00023039609121232272,0.007447200079256604,0.4926766878962546,8.692849511275263e-05
