Time (hr),Plant Height (m),Leaf Area (m²),Number of Leaves (unitless),Spikelet Count (unitless),Fruit Biomass (kg)
0,0.0010344827586206897,0.00022413793103448276,0.006896551724137931,0.3448275862068966,8.620689655172413e-05
1,0.001035118599230074,0.00022428258035335234,0.006904132507520779,0.34554230915443773,8.622767571379414e-05
2,0.001035754830436906,0.00022442732296762828,0.006911721617835596,0.34625851310123357,8.624845988178461e-05
3,0.0010363914524808603,0.0002245721589374126,0.006919319064215774,0.3469762011144292,8.626924905690025e-05
4,0.0010370284656017583,0.00022471708832284593,0.006926924855804697,0.34769537626751473,8.629004324034604e-05
5,0.0010376658700395678,0.00022486211118410754,0.006934539001755747,0.3484160416403386,8.631084243332726e-05
6,0.0010383036660344042,0.00022500722758141535,0.006942161511232316,0.3491382003191206,8.633164663704947e-05
7,0.0010389418538265295,0.00022515243757502602,0.00694979239340782,0.3498618553964647,8.635245585271854e-05
8,0.0010395804336563528,0.00022529774122523493,0.006957431657465707,0.3505870099713728,8.637327008154062e-05
9,0.0010402194057644305,0.00022544313859237619,0.006965079312599467,0.3513136671492575,8.639408932472214e-05
10,0.001040858770391466,0.00022558862973682267,0.006972735368012646,0.35204183004195544,8.641491358346982e-05
11,0.0010414353614214417,0.00022571984168155235,0.006980398897977158,0.3528945769889054,8.643273653908644e-05
12,0.0010419603418501296,0.00022583931344771917,0.006988069857387915,0.3538792401372567,8.64482121896407e-05
13,0.0010424426506451497,0.00022594907829975917,0.0069957482162933985,0.35500131187148715,8.646183288409277e-05
14,0.0010428893835025426,0.0002260507502859764,0.007003433957107068,0.356264825623061,8.647396895124377e-05
15,0.0010433061814315156,0.00022614561259249534,0.007011127072321995,0.3576726633566675,8.648490105335349e-05
16,0.0010436975566616583,0.0002262346916575676,0.007018827562604958,0.35922680760583325,8.649484426883812e-05
17,0.001044067148250319,0.00022631881530422364,0.007026535435203888,0.36092854818469056,8.650396546636844e-05
18,0.0010444179175032287,0.0002263986571873193,0.007034250702621759,0.36277865096487333,8.651239574224423e-05
